line_id,uom_name
5644,CARTON DE 750
5667,CARTON DE 750
5681,CARTON DE 25
5683,CARTON DE 50
5699,PIECE
5702,CARTON DE 6
5728,CARTON DE 750
5729,PIECE
5735,CARTON DE 6
5798,CARTON DE 750
5810,CARTON DE 50
5892,PIECE
5896,CARTON DE 750
5953,CARTON DE 750
5955,CARTON DE 750
5980,CARTON DE 6
5983,66
6019,CARTON DE 750
6025,CARTON DE 6
6046,PIECE
6074,CARTON DE 25
6078,CARTON DE 6
6086,PIECE
6121,CARTON DE 750
6138,CARTON DE 750
6159,CARTON DE 500
6186,1
6217,SACHET DE 5
6221,PIECE
6222,1
6224,CARTON DE 750
6252,CARTON DE 750
6302,CARTON DE 6
6320,CARTON DE 750
6358,CARTON DE 750
6461,PIECE
6462,SACHET DE 50
6463,PIECE
6464,PIECE
6465,PIECE
6466,PIECE
6523,CARTON DE 6
6538,CARTON DE 750
6565,CARTON DE 25
6582,1
6584,PIECE
6585,PIECE
6586,PIECE
6587,PIECE
6620,CARTON DE 750
6661,CARTON DE 750
6684,CARTON DE 25
6688,CARTON DE 6
6705,CARTON DE 750
6710,PIECE
6729,PIECE
6730,BOITE
6737,CARTON DE 750
6768,CARTON DE 6
6773,PIECE
6774,PIECE
6778,PIECE
6794,CARTON DE 750
6823,CARTON DE 6
6845,CARTON DE 750
6970,PIECE
6971,PIECE
6989,CARTON DE 750
7039,CARTON DE 750
7046,PIECE
7047,PIECE
7048,PIECE
7049,PIECE
7050,PIECE
7051,PIECE
7052,PIECE
7053,PIECE
7118,SACHET DE 100
7119,SACHET DE 10
7125,CARTON DE 6
7149,CARTON DE 750
7180,PIECE
7182,CARTON DE 750
7212,PIECE
7235,CARTON DE 6
7249,CARTON DE 750
7297,CARTON DE 750
7356,CARTON DE 25
7430,CARTON DE 750
7440,CARTON DE 750
7457,SACHET DE 20
7458,SACHET DE 14
7459,SACHET DE 14
7460,SACHET DE 20
7461,SACHET DE 20
7462,SACHET DE 15
7463,PIECE
7466,PIECE
7467,PIECE
7468,PIECE
7469,PIECE
7470,PIECE
7471,PIECE
7472,PIECE
7473,PIECE
7474,PIECE
7475,PIECE
7476,FLOWPACK
7477,SACHET DE 50
7478,PIECE
7479,BOITE
7480,BOITE
7481,BOITE
7482,BOITE
7483,PIECE
7484,PIECE
7485,PIECE
7486,PIECE
7487,PIECE
7488,PIECE
7490,PIECE
7491,PIECE
7492,PIECE
7493,PIECE
7494,PIECE
7495,PIECE
7497,PIECE
7498,PIECE
7499,PIECE
7500,PIECE
7513,FLOWPACK
7514,PIECE
7515,PIECE
7574,CARTON DE 750
7593,CARTON DE 6
7615,CARTON DE 750
7637,CARTON DE 750
7638,PIECE
7639,PIECE
7712,CARTON DE 750
7729,PIECE
7730,PIECE
7731,PIECE
7732,PIECE
7734,CARTON DE 750
7763,CARTON DE 750
7776,CARTON DE 750
7802,CARTON DE 750
7805,FLOWPACK
7806,PIECE
7807,PIECE
7828,CARTON DE 25
7837,CARTON DE 750
7843,PIECE
7844,PIECE
7870,PIECE
7872,PIECE
7873,PIECE
7874,PIECE
7877,PIECE
7880,PIECE
7881,PIECE
7882,PIECE
7906,CARTON DE 25
7913,PIECE
7941,CARTON DE 750
7984,SACHET DE 20
7985,SACHET DE 18
7986,SACHET DE 50
7992,CARTON DE 750
8014,CARTON DE 750
8021,CARTON DE 750
8022,CARTON DE 750
8023,CARTON DE 750
8025,CARTON DE 6
8100,CARTON DE 750
8106,1
8115,CARTON DE 750
8121,SACHET DE 12
8122,SACHET DE 50
8130,SACHET DE 30
8131,SACHET DE 28
8132,SACHET DE 22
8133,SACHET DE 14
8152,CARTON DE 750
8200,CARTON DE 750
8201,CARTON DE 750
8230,SACHET DE 20
8231,SACHET DE 20
8232,SACHET DE 20
8233,SACHET DE 20
8234,SACHET DE 15
8235,SACHET DE 15
8236,SACHET DE 20
8237,SACHET DE 20
8247,CARTON DE 750
8251,CARTON DE 6
8271,CARTON DE 25
8288,CARTON DE 750
8316,CARTON DE 750
8341,CARTON DE 750
8342,PIECE
8343,CARTON DE 6
8346,CARTON DE 750
8354,PIECE
8355,PIECE
8357,PIECE
8358,PIECE
8359,BOITE
8360,PIECE
8361,PIECE
8362,PIECE
8363,PIECE
8367,PIECE
8368,PIECE
8369,PIECE
8371,PIECE
8372,PIECE
8373,BOITE
8374,PIECE
8375,PIECE
8376,PIECE
8377,PIECE
8381,PIECE
8382,PIECE
8383,PIECE
8390,CARTON DE 750
8395,PIECE
8431,CARTON DE 750
8470,CARTON DE 750
8471,BOITE
8503,CARTON DE 6
8510,1
8525,CARTON DE 750
8536,PIECE
8537,PIECE
8538,PIECE
8539,PIECE
8540,PIECE
8541,PIECE
8546,SACHET DE 20
8547,SACHET DE 50
8548,SACHET DE 50
8549,SACHET DE 60
8550,SACHET DE 30
8553,SACHET DE 20
8554,SACHET DE 50
8555,SACHET DE 50
8556,SACHET DE 60
8557,SACHET DE 25
8567,SACHET DE 28
8568,SACHET DE 18
8569,SACHET DE 20
8570,SACHET DE 20
8571,SACHET DE 14
8572,SACHET DE 15
8573,SACHET DE 20
8574,BOITE
8575,PIECE
8576,PIECE
8577,PIECE
8587,CARTON DE 750
8627,CARTON DE 750
8629,PIECE
8630,PIECE
8631,PIECE
8632,PIECE
8633,PIECE
8634,BOITE
8635,BOITE
8636,BOITE
8637,BOITE
8638,BOITE
8639,PIECE
8640,PIECE
8641,SACHET DE 50
8655,PIECE
8658,PIECE
8680,CARTON DE 750
8681,CARTON DE 6
8683,CARTON DE 750
8763,CARTON DE 750
8777,CARTON DE 750
8784,CARTON DE 750
8804,CARTON DE 750
8876,PIECE
8889,PIECE
8890,PIECE
8910,BOITE
8933,CARTON DE 750
8945,PIECE
8953,PIECE
8954,PIECE
8955,PIECE
8956,PIECE
8957,SACHET DE 50
8958,PIECE
8959,PIECE
8960,PIECE
8961,PIECE
8962,PIECE
8963,PIECE
8964,BOITE
8965,BOITE
8966,BOITE
8967,BOITE
8974,CARTON DE 750
8999,PIECE
9063,PIECE
9087,SACHET DE 27
9088,SACHET DE 28
9089,PIECE
9090,SACHET DE 14
9091,PIECE
9092,PIECE
9093,SACHET DE 20
9094,PIECE
9095,PIECE
9096,SACHET DE 14
9097,PIECE
9098,SACHET DE 20
9099,PIECE
9100,SACHET DE 20
9101,SACHET DE 15
9102,PIECE
9103,SACHET DE 20
9104,PIECE
9105,PIECE
9106,PIECE
9107,BOITE
9108,BOITE
9110,PIECE
9111,PIECE
9112,PIECE
9113,SACHET DE 50
9162,CARTON DE 750
9178,SACHET DE 16
9187,CARTON DE 6
9207,PIECE
9208,PIECE
9209,SACHET DE 50
