line_id,uom_name
5247,PIECE
5251,CARTON DE 750
5252,CARTON DE 750
5263,PIECE
5264,PIECE
5281,PIECE
5284,PIECE
5323,BOITE DE 50
5324,BOITE DE 50
5344,BOITE DE 50
5345,BOITE DE 50
5346,BOITE DE 50
5347,BOITE DE 10
5348,BOITE DE 50
5349,BOITE DE 50
5350,BOITE DE 40
5351,BOITE DE 25
5352,BOITE DE 50
5385,PIECE
5399,SACHET DE 50
5451,CARTON DE 50
5452,PIECE
5453,PIECE
5454,PIECE
5455,PIECE
5476,PIECE
5513,PIECE
5514,PIECE
5516,CARTON DE 6
5534,CARTON DE 750
5538,CARTON DE 750
5544,CARTON DE 200
5546,CARTON DE 1000
5560,PIECE
5561,PIECE
5571,PIECE
5582,PIECE
5588,PIECE
5593,SACHET DE 27
5594,SACHET DE 42
5634,CARTON DE 1000
5662,PIECE
5687,PIECE
5717,PIECE
5775,PIECE
5866,CARTON DE 1000
5881,CARTON DE 750
5946,PIECE
5947,PIECE
5994,CARTON DE 1000
6049,BOITE DE 50
6050,BOITE DE 50
6051,CARTON DE 1000
6086,PIECE
6142,CARTON DE 6
6143,PIECE
6178,CARTON DE 6
6264,PIECE
6265,PIECE
6266,PIECE
6294,PIECE
6295,CARTON DE 6
6349,CARTON DE 6
6350,CARTON DE 6
6360,PIECE
6367,CARTON DE 750
6467,CARTON DE 750
6483,PIECE
6484,PIECE
6570,CARTON DE 24
6605,PIECE
6614,PIECE
6642,CARTON DE 6
6643,CARTON DE 6
6652,PIECE
6655,CARTON DE 750
6689,CARTON DE 750
6725,CARTON DE 6
6727,PIECE
6735,PIECE
6845,CARTON DE 24
6866,CARTON DE 6
6867,CARTON DE 6
6868,CARTON DE 6
6894,PIECE
6895,PIECE
6896,PIECE
7003,CARTON DE 750
7029,CARTON DE 750
7030,PIECE
7031,PIECE
7039,PIECE
7046,PIECE
7127,CARTON DE 750
7157,PIECE
7160,PIECE
7161,PIECE
7208,CARTON DE 6
7209,CARTON DE 6
7210,PIECE
7220,PIECE
7233,PIECE
7253,PIECE
7254,PIECE
7328,CARTON DE 750
7330,CARTON DE 24
7370,PIECE
7379,PIECE
7380,PIECE
7386,CARTON DE 6
7387,CARTON DE 6
7388,PIECE
7390,PIECE
7439,CARTON DE 6
7447,PIECE
7472,PIECE
7584,PIECE
7671,PIECE
7673,PIECE
7674,PIECE
7675,PIECE
7686,CARTON DE 6
7705,CARTON DE 12 PACKS
7746,PIECE
7753,CARTON DE 6
7754,CARTON DE 6
7853,CARTON DE 6
7854,CARTON DE 6
7862,PIECE
7863,PIECE
7901,SACHET DE 14
7902,SACHET DE 14
7903,SACHET DE 14
7926,BOITE
7937,PIECE
7986,CARTON DE 6
7987,CARTON DE 6
7989,PIECE
7998,PIECE
8001,PIECE
8007,PIECE
8008,PIECE
8067,CARTON DE 1000
8135,CARTON DE 6
8136,CARTON DE 6
8160,PIECE
8161,PIECE
8162,PIECE
8208,CARTON DE 1000
8229,CARTON DE 6
8247,CARTON DE 6
8253,PIECE
8271,PIECE
8272,PIECE
8282,CARTON DE 6
8287,CARTON DE 6
8421,PIECE
8428,PIECE
8431,PIECE
8473,PIECE
8474,PIECE
8477,CARTON DE 24
8495,CARTON DE 6
8496,CARTON DE 6
8531,CARTON DE 25
8533,CARTON DE 25
8534,PIECE
8535,CARTON DE 500
8546,PIECE
8547,CARTON DE 6
8548,CARTON DE 6
8601,PIECE
8608,CARTON DE 500
8640,CARTON DE 500
8650,CARTON DE 6
8654,PIECE
8707,CARTON DE 6
8708,CARTON DE 6
8772,PIECE
8799,CARTON DE 500
8817,CARTON DE 6
8818,CARTON DE 6
8825,PIECE
8889,PIECE
8900,CARTON DE 6
8912,PIECE
8930,CARTON DE 6
8972,PIECE
9017,CARTON DE 6
9076,CARTON DE 6
9120,PIECE
9124,PIECE
9173,CARTON DE 6
9233,CARTON DE 6
9259,CARTON DE 6
9260,CARTON DE 6
9343,PIECE
9345,PIECE
9376,PIECE
9388,PIECE
9389,PIECE
9390,PIECE
9391,PIECE
9392,PIECE
9393,PIECE
9394,PIECE
9451,PIECE
9496,CARTON DE 6
9497,CARTON DE 6
9499,PIECE
9537,CARTON DE 1000
9543,PIECE
9692,CARTON DE 6
9693,CARTON DE 6
9754,BOITE DE 50
9755,BOITE DE 50
9756,BOITE DE 60
9757,BOITE DE 50
9758,BOITE DE 50
9759,BOITE DE 50
9779,BOITE DE 50
9783,BOITE DE 50
9784,BOITE DE 25
9785,BOITE DE 50
9786,BOITE DE 50
9837,CARTON DE 1000
9842,BOITE DE 50
9856,CARTON DE 6
9857,CARTON DE 6
9885,SACHET DE 50
9974,CARTON DE 6
9975,CARTON DE 6
10052,PIECE
10076,BOITE DE 50
10097,CARTON DE 6
10101,BOITE DE 50
10117,CARTON DE 6
10119,PIECE
10121,PIECE
10405,CARTON DE 6
10406,CARTON DE 6
10417,CARTON DE 12 PACKS
10419,PIECE
10424,BOITE DE 40
10425,BOITE DE 40
10466,BOITE DE 50
10467,PIECE
10494,CARTON DE 6
10495,CARTON DE 6
10509,CARTON DE 24
10557,CARTON DE 6
10558,CARTON DE 6
10570,PIECE
10571,PIECE
10572,PIECE
10573,PIECE
10574,CARTON DE 1000
10618,PIECE
10669,CARTON DE 6
10670,CARTON DE 6
10714,CARTON DE 1000
10715,CARTON DE 1000
